date;year;agency;type;country;cityPais;city;event_title;title;speakers;language;URL_document;Observations
18-20 october 2023;2023;UN-GGIM Américas;Expert Group Meeting;Chile ;Santiago de Chile ;Santiago de Chile ;X session UN-GGIM : Americas ;Implementing the Framework for Effective Land Administration (FELA): New Workplan and Developments;19;Inglés;https://www.cepal.org/sites/default/files/presentations/framework-effective-land-administration-fela-chile-oct2023.pdf;
2-4 october 2023;2023;FIG;Meeting;the Netherlands;Amsterdam;Deventer;FIG Meeting Digital Transformation for Responsible Land Administration;Framework for efective land administration (WG7.1) Work plan 2023-2026;1;Inglés;https://www.fig.net/resources/proceedings/fig_proceedings/7_2023/papers/se01/SE01_velasco_velasco_12338_abs.pdf;
29-31 may 2023;2023;FIG;Congress;USA;USAc;Orlando;FIG Woorking Week 2023 - Protecting Our World, Conquering New Frontiers;Implementing the Framework for Effective Land Administration (FELA): New Workplan and Developments;4,5;Inglés;https://fig.net/resources/proceedings/fig_proceedings/fig2023/ppt/ts01i/TS01I_soon_khoo_12061_ppt.pdf;
29-31 may 2023;2023;FIG;Congress;USA;USAc;Orlando; FIG Woorking Week 2023 - Protecting Our World, Conquering New Frontiers;The UN-GGIM Integrated Geospatial Information Framework and the status of the High-Level Group of the IGIF;25;Inglés;https://fig.net/resources/proceedings/fig_proceedings/fig2023/ppt/ts01i/TS01I_lilje_11937_ppt.pdf;
29-31 may 2023;2023;FIG;Congress;USA;USAc;Orlando; FIG Woorking Week 2023 - Protecting Our World, Conquering New Frontiers;Improved Land Management, a Key Factor for a Stable and Protective Social Economic Development;26;Inglés;https://fig.net/resources/proceedings/fig_proceedings/fig2023/papers/ts01i/TS01I_lestang_12041.pdf;
29-31 may 2023;2023;FIG;Congress;USA;USAc;Orlando; FIG Woorking Week 2023 - Protecting Our World, Conquering New Frontiers;Land Registration for Conquering New SDG Frontiers;27;Inglés;https://fig.net/resources/proceedings/fig_proceedings/fig2023/ppt/ts01i/TS01I_griffith-charles_12099_ppt.pdf;
29-31 may 2023;2023;FIG;Congress;USA;USAc;Orlando;FIG Woorking Week 2023 - Protecting Our World, Conquering New Frontiers;FELA-based Geospatial Knowledge Infrastructure;30,28,29;Inglés;https://fig.net/resources/proceedings/fig_proceedings/fig2023/ppt/ts01i/TS01I_tourtelotte_pickett_et_al_12127_ppt.pdf;
28 may- 1 June 2023;2023;FIG;Congress;USA;USAc;Orlando;FIG Woorking Week 2023 - Protecting Our World, Conquering New Frontiers;Fit-For-Purpose Land Administration and the Framework for Effective Land Administration in Chad;10,9,31,32,33,34,35,3,37,38;Inglés;https://fig.net/resources/proceedings/fig_proceedings/fig2023/ppt/ts01i/TS01I_unger_bennett_et_al_12242_ppt.pdf;
11-15 September 2022;2022;FIG;Congress;Poland;Warsaw;Warsaw;XXVII FIG Congress - Volunteering for the Future Geospatial Excellence for a better living;GIS in Land Administration Can Help You Implement the FELA and Support the SDG’s;30;Inglés;https://www.fig.net/resources/proceedings/fig_proceedings/fig2022/papers/ts02a/TS02A_tourtelotte_11559.pdf;
11-15 September 2022;2022;FIG;Congress;Poland;Warsaw;Warsaw;XXVII FIG Congress - Volunteering for the Future Geospatial Excellence for a better living;Digital Transformation of Land Administration: Stages, Status, and Solutions;9,10,39,40,41,42,43,44,45;Inglés;https://www.fig.net/resources/proceedings/fig_proceedings/fig2022/papers/ts04b/TS04B_bennett_unger_et_al_11482.pdf;
